Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"Kung meron man na dapat maunang bumaba sa puwesto, ito ay walang iba kundi ang nagbitiw na si Philippine National Police (PNP) chief General Rodolfo Azurin Jr. dahil sa palpak na pamumuno.",13. Political,13. Political,13. Political,13. Political
Tiyak na mapapasana-all ka sa mamshie na ito na nag-viral dahil sa bigating regalo ng kanyang mister para sa Mother’s day.,15. Other,15. Other,15. Other,15. Other
"Naghain ng panukala sina Speaker Ferdinand Martin Romualdez, Tingog party-list Representatives Yedda Marie Romualdez, at Jude Acidre para sa pagtatayo ng Special Agricultural Growth Zones (SAGZ) sa bansa.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation
"Patay ang isang lalaki matapos itong magsaksak sa sarili habang kritikal naman ang kanyang live-in partner na nauna niyang saksakin sa gitna ng kanilang away sa Calamba City, Laguna nitong Lunes.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Isang technical working group (TWG) ang binuo ng House Committee on Information and Communications Technology upang plantsahin ang mga panukala kaugnay ng pagpapabilis ng internet service sa bansa.,2. Capacity and Resources,2. Capacity and Resources,6. Policy Prescription and Evaluation,2. Capacity and Resources
"Isang Pilipino ang namamatay kada araw dahil sa rabies noong 2022, batay sa datos ng Department of Health.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Humingi ng paumanhin ang SMC Infrastructure sa lahat ng motoristang na aapektuhan ng matinding trapik sa ilang bahagi ng South Luzon Expressway (SLEX) Skyway, NAIAx at STAR Tollway, kahapon.",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Kagawad itinumba sa harap ng pamilya, 3 suspek nagpakilalang mga pulis","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Hinatulan na ng Sandiganbayan ang dating Quezon City councilor na si Roderick Paulate dahil sa kasong may kaugnayan sa pag-hire ng mga ghost employee noong 2010.,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence
Mahigit P1.4 bilyon na ang natanggap na notice of cash allotment ng Department of Agriculture mula sa Department of Budget and Management (DBM) mula September 30.,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"4 puganteng dayuhan timbog sa droga, kidnapping, pangingikil","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Safe ang GCash funds mo, ‘wag maniwala sa fake news",10. Quality of Life,"7. Law and Order, Crime and Justice",15. Other,False
Gobernador de-susi trabaho dahil sa erpat,13. Political,13. Political,13. Political,13. Political
Duda si House Committee on Transportation chairperson at Antipolo City Rep. Romeo Acop kung matatapos sa itinakdangoras ang Metro Manila Subway project.,6. Policy Prescription and Evaluation,2. Capacity and Resources,13. Political,False
"Iniutos kahapon ni Philippine National Police (PNP) chief Gen. Benjamin Acorda Jr., sa lahat ng police unit na lalo pang paigtingin ang operasyon laban sa 48 private armed group (PAG) at mga loose firearms sa bansa bilang bahagi ng ilalatag na seguridad sa idaraos na Barangay at Sangguniang Kabataan Elections (BSKE) sa Oktubre 30.",8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
"Santo Papa naghigpit, ‘freebies’ ng mga cardinal tinanggal",15. Other,3. Morality,15. Other,15. Other
"Mga silid aklatan itayo, pangontra disinformation – Atayde",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation
Apat katao ang dinampot sa magkakahiwalay na operasyon dahil sa iligal na bentahan ng hayop.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Kinumpirma kahapon ng Communist Party of the Philippines-News People’s Army (CPP-NPA) ang pagkamatay ng mag-asawang terorista na sina Benito at Wilma Tiamzon at walo pa nilang kasamahan matapos silang madakip ng mga tauhan ng Armed Forces of the Philippines (AFP) sa lalawigan ng Samar noong Agosto ng nakaraang taon.,8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Nagbabala ang World Health Organization (WHO) sa Russia na itigil ang pagbomba sa mga ospital sa Ukraine dahil paglabag ito sa international humanitarian law.,8. Security and Defense,3. Morality,8. Security and Defense,8. Security and Defense
2 paghahatian ang P5.9M Lotto 6/42 jackpot,15. Other,15. Other,15. Other,15. Other
Binurong mga balikbayan box idedeliber bago mag-Pasko,10. Quality of Life,15. Other,10. Quality of Life,10. Quality of Life
Iniutos ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. na kailangang ilarga agad ang preemptive evacuation kapag may parating na bagyo upang hindi na maabutan ng peligro at hindi mabiktima ng kalamidad.,9. Health and Safety,6. Policy Prescription and Evaluation,9. Health and Safety,9. Health and Safety
"Niyanig ng magnitude 4.6 na lindol ang Tinaga Island, Camarines Norte noong Martes ng gabi, ayon sa ulat ng Philippine Institute of Volcanology and Seismology (PHIVOLCS).",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Inindiyan sa birthday, lover nagbigti",9. Health and Safety,15. Other,15. Other,15. Other
"Inihahanda na ng administrasyong Marcos ang panibagong bugso ng cash aid sa ilalim ng Targeted Cash Transfer (TCT) program upang mabawasan ang pasanin ng mga Pinoy sa mataas na presyo ng bilihin, ayon kay Finance Secretary Benjamin Diokno",10. Quality of Life,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
Limang milyong piso kada araw ang nawawalang kita ng mga mangingisda dahil sa epekto ng oil spill mula sa lumubog na barko sa Oriental Mindoro.,10. Quality of Life,10. Quality of Life,1. Economic,10. Quality of Life
"Barko nagliyab sa Basilan, higit 30 natsugi",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Total lunar eclipse masasaksihan sa Nov 8,15. Other,15. Other,15. Other,15. Other
Napundi na si Pangulong Ferdinand “Bongbong” Marcos Jr. sa mga patayan na may kaugnayan sa politika kaya binigyan ng ultimatum ang Philippine National Police (PNP) pati na ang Armed Forces of the Philippines (AFP).,13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
DA kinalampag sa importasyon ng sibuyas,2. Capacity and Resources,13. Political,2. Capacity and Resources,2. Capacity and Resources
"2 Utol ni Leyte mayor inambus, 1 tigok","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Pinuri ni Speaker Ferdinand Martin Romualdez ang kanyang mga kapwa kongresista sa “very good” rating na nakuha ng Kamara de Representantes sa survey ng Social Weather Stations (SWS).,13. Political,13. Political,13. Political,13. Political
Lola tigok sa tuklaw ng cobra,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Mistulang palos na nakatakas ang isang barangay tserman habang arestado naman ang asawa nito matapos salakayin ng mga awtoridad ang bahay ng mga ito at makumpiskahan ng hinihinalang shabu at mga pampasabog sa Pikit, Cotobato.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Nagbigay ng reaksyon si Senadora Cynthia Villar sa viral video niya kung saan na-huli cam ang panggagalaiti niya sa isang guwardiya sa Las Piñas.,13. Political,13. Political,13. Political,13. Political
"Tiklo ang isang magkapatid kasama ang kasabwat ng mga ito makaraan nilang tangayin ang nakaparadang motorsiklo sa Mendez, Cavite nitong Huwebes.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Nasabat ng mga ahente ng Bureau of Customs (BOC) ang nasa P16.5 milyong halaga ng cocaine matapos itong madiskubre sa loob ng bagahe ng isang dayuhan mula sa El Salvador sa Ninoy Aquino International Airport (NAIA) Terminal 3 noong Lunes.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Passenger terminal ng Port of Calapan pangmalakasan na,2. Capacity and Resources,2. Capacity and Resources,15. Other,2. Capacity and Resources
Naharang ng mga tauhan ng Bureau of Immigration (BI) ang apat pang biktima ng human trafficking  na nagtangkang pumuslit patungong Singapore.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Bundok ng Susong Dalaga magdamag nagliyab,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Dating aide ni Enrile binutasan inamag na pork barrel case,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Rep Co: LGU pakyawin ani ng mga farmer,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
DBM binida baryang wage hike! Kahit 3-in-1 coffee ‘di pasok sa budget,6. Policy Prescription and Evaluation,1. Economic,2. Capacity and Resources,False
Isiniwalat ni Justice Secretary Jesus Crispin Remulla nitong Lunes na isa si Negros Oriental Rep. Arnolfo “Arnie” Teves Jr. sa ikinokonsiderang mastermind sa pamamaslang kay Governor Roel Degamo noong Marso 4.,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Kalahating populasyon sa mundo, nadale ng mouth disease",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Hindi masyadong natalakay nina Pangulong Ferdinand Marcos Jr. ang mga regional issues tulad ng usapin sa West Philippine Sea nang magkaharap sila ni Chinese President Xi Jinping sa bilateral meeting sa Bangkok, Thailand.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Nagsalita na si Executive Secretary Lucas Bersamin kaugnay sa hindi mamatay-matay na isyu ng umano’y pagbibitiw nito sa puwesto na kumalat sa social media nitong weekend.,13. Political,13. Political,13. Political,13. Political
Abot-abot ang pasasalamat sa Diyos ng isang driver na nakaligtas matapos itong holdapin ng kanyang pasahero at ikandado  ng minamaneho nitong taxi sa Valenzuela City noong Martes.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",10. Quality of Life,"7. Law and Order, Crime and Justice"
Elon Musk papasukin internet service sa ‘Pinas,1. Economic,2. Capacity and Resources,15. Other,False
"ISASALANG ng apat na National Sports Association ang pinakamahuhusay na mixed martial artists sa pangunguna nina Team Lakay fighters Jeremy “Juggernaut” Pacatiw at Danny “King” Kingad, gayundin si 2019 Manila Games Combat Sambo champion Mark “Mugen” Striegl para sa sport event na Kon Bokator sa darating na 32nd SEA Games sa Mayo 5-17 sa Phnom Penh, Cambodia.",15. Other,15. Other,15. Other,15. Other
Personal na nagpaabot ng pagbati si Pangulong Ferdinand Marcos Jr. sa ika-76 kaarawan ni da¬ting pangulong Gloria Macapagal Arroyo.,15. Other,13. Political,15. Other,15. Other
"Sa press briefing sa Malacanang, pinangalanan ni Abalos ang mga ito na sina Baguio City Mayor Benjamin Magalong, Philippine National Police (PNP) Chief Gen. Rodolfo Azurin Jr., dating Defense Secretary Gilbert Teodoro Jr., Office of the Presidential Adviser on Military Affairs Undersecretary Retired Maj. Gen. Isagani Nerez, at isang pribadong indibidwal na tumangging mapangalanan.",13. Political,"7. Law and Order, Crime and Justice",13. Political,13. Political
Cong sa mga depositor: Isnaberong bangko layasan!,6. Policy Prescription and Evaluation,15. Other,13. Political,False
Banking system tagilid sa Maharlika Fund,6. Policy Prescription and Evaluation,1. Economic,1. Economic,1. Economic
9 pamilya na biktima ng Turkey quake balik ‘Pinas,8. Security and Defense,10. Quality of Life,10. Quality of Life,10. Quality of Life
Ipinatigil muna ng Department of Migrant Workers (DMW) ang pagpapadala ng mga first time overseas Filipino worker (OFW) partikular ang gustong magtrabaho bilang domestic helper sa Kuwait.,6. Policy Prescription and Evaluation,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Simula Miyerkoles, Pebrero 1, puwede nang isakay ng mga pasahero ang alaga nilang maliliit na hayop tulad ng pusa o aso pero mahigpit na ipagbabawal pa rin ang mga sawa, iguana, bayawak at maging buhay na manok.",6. Policy Prescription and Evaluation,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Bangkay tinadtad ng bala, bumulaga sa kalsada","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Inaasahang luluwag na ang mga kulungan sa bansa matapos mapalaya ang 130,138 na Persons Deprived of Liberty (PDL) mula sa iba’t ibang piitan sa bansa.",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
Kinuwestiyon ng negosyanteng si Enrique Razon ang umano’y agenda ni dating Philippine National Oil Company (PNOC) President Eduardo Mañalac sa pagkontra nito sa naging desisyon ni Pangulong Ferdinand “Bongbong” Marcos Jr. na palawigin ang Malampaya Service Contract No. 38 ng 15 pang taon.,13. Political,13. Political,13. Political,13. Political
Sumakabilang-buhay nitong Sabado nang gabi ang business tycoon na si Roberto Ongpin sa edad na 86.,15. Other,15. Other,15. Other,15. Other
